keyframe_name,description,frame_number,timestamp,knee_angle,hip_angle,elbow_angle,shoulder_angle,wrist_angle,trunk_lean
ball_lowest,球的最低点,7,1.1666666666666667,99.63378889443301,94.32887926683367,71.7404375278272,13.136286880685796,162.2748510126106,93.9778061484758
lift_start,开始持续抬球,8,1.3333333333333333,96.41143205198257,93.62016138820961,73.56222998934683,17.189427284392966,162.94650745755908,92.90624320929601
ball_rising_mid,球上升中点,11,1.8333333333333333,90.33715877249513,93.2347965200178,85.12197936221418,37.14911450098576,164.70014673081147,94.2226519887087
ball_at_chest,球到胸部高度,14,2.3333333333333335,84.47451127491807,97.20599800432414,95.03367029653037,64.7807728476332,162.4404549401541,95.88828750239213
squat_deepest,重心最低点（下蹲最深）,16,2.6666666666666665,82.72851710251118,101.48022161997355,93.71919181951095,80.11696372944763,168.6068568651375,100.62393850207974
ball_at_shoulder,球到肩部高度,16,2.6666666666666665,82.72851710251118,101.48022161997355,93.71919181951095,80.11696372944763,168.6068568651375,100.62393850207974
leg_power_start,腿部开始发力（蹬伸）,16,2.6666666666666665,82.72851710251118,101.48022161997355,93.71919181951095,80.11696372944763,168.6068568651375,100.62393850207974
power_transfer,力量传递,19,3.1666666666666665,94.15401680180148,122.88801193966158,69.80266382133004,86.55135278729905,131.24633300925314,122.1985869537742
elbow_max_bend,肘关节最大弯曲（39.0°）,23,3.8333333333333335,128.7204163329853,155.40991828358267,38.97072581318317,87.21906736633179,159.39431306476297,143.07566204437168
wrist_snap,手腕下压（snap）,24,4.0,134.94386592211336,159.41268155710276,41.20116029785123,91.30567464622872,158.29457104248894,149.52495388679944
release_prepare,出手准备,27,4.5,153.02379747096032,171.05065215144134,55.11438712737567,94.63149136379762,162.8018953874575,160.42668069461644
elbow_extension_max,肘关节伸展最快（24.0°/帧）,31,5.166666666666667,162.75355427901493,177.38104903178936,134.72045700563015,109.81053492170024,171.7045056313849,164.32867848934774
release,出手瞬间,31,5.166666666666667,162.75355427901493,177.38104903178936,134.72045700563015,109.81053492170024,171.7045056313849,164.32867848934774
follow_through,随球动作完成（手腕最高点）,31,5.166666666666667,162.75355427901493,177.38104903178936,134.72045700563015,109.81053492170024,171.7045056313849,164.32867848934774
